graph,algo,num_nodes,num_edges,density,avg_degree,max_degree,clustering_coef,is_directed,num_components,is_connected,has_cycle,time
g5830.json,bfs,35,35,0.059,2.0,5,0.0,False,1,True,True,1.3e-05
g4722.json,bfs,18,54,0.353,6.0,7,0.4399470899470899,False,1,True,True,7e-06
g547.json,bfs,11,13,0.236,2.3636363636363638,5,0.22727272727272727,False,1,True,True,5e-06
g9110.json,bfs,40,39,0.05,1.95,4,0.0,False,1,True,False,1.1e-05
g1520.json,greedy_coloring,14,16,0.176,2.2857142857142856,4,0.047619047619047616,False,2,False,True,1.8e-05
g9405.json,bfs,364,363,0.005,1.9945054945054945,4,0.0,False,1,True,False,7e-05
g6.json,bfs,39,105,0.142,5.384615384615385,10,0.11086691086691086,False,1,True,True,1.4e-05
g3008.json,bfs,21,68,0.324,6.476190476190476,18,0.5312502778889334,False,1,True,True,7e-06
g1035.json,bfs,32,84,0.169,5.25,10,0.1412698412698413,False,1,True,True,1.2e-05
g4237.json,bfs,15,30,0.286,4.0,4,0.5,False,1,True,True,6e-06
g9055.json,bfs,127,126,0.016,1.984251968503937,3,0.0,False,1,True,False,2.7e-05
g3458.json,bfs,27,72,0.205,5.333333333333333,12,0.29530490086045635,False,1,True,True,8e-06
g1465.json,bfs,44,169,0.179,7.681818181818182,14,0.16315086428722794,False,1,True,True,1.5e-05
g5975.json,greedy_coloring,38,38,0.054,2.0,4,0.0,False,2,False,True,3e-05
g7948.json,bfs,30,49,0.113,3.2666666666666666,4,0.0,False,1,True,True,1e-05
g402.json,bfs,41,203,0.248,9.902439024390244,16,0.24728794240989363,False,1,True,True,1.2e-05
g4667.json,bfs,36,36,0.057,2.0,4,0.0,False,1,True,True,1.2e-05
g8214.json,bfs,127,126,0.016,1.984251968503937,3,0.0,False,1,True,False,2.7e-05
g1936.json,bfs,32,127,0.256,7.9375,15,0.23236034798534802,False,1,True,True,1e-05
g2619.json,bfs,37,102,0.153,5.513513513513513,18,0.272550815197874,False,1,True,True,1.1e-05
g5426.json,bfs,17,17,0.125,2.0,3,0.0,False,1,True,True,6e-06
g951.json,bfs,27,56,0.16,4.148148148148148,7,0.10423280423280422,False,1,True,True,1e-05
g9956.json,bfs,1093,1092,0.002,1.9981701738334858,4,0.0,False,1,True,False,0.000259
g8644.json,bfs,1093,1092,0.002,1.9981701738334858,4,0.0,False,1,True,False,0.000263
g2249.json,bfs,27,26,0.074,1.9259259259259258,9,0.0,False,1,True,False,9e-06
g5076.json,greedy_coloring,35,35,0.059,2.0,4,0.0,False,2,False,True,2.9e-05
g8490.json,bfs,15,14,0.133,1.8666666666666667,3,0.0,False,1,True,False,5e-06
g7765.json,bfs,24,37,0.134,3.0833333333333335,4,0.0,False,1,True,True,9e-06
g5758.json,bfs,36,36,0.057,2.0,4,0.0,False,1,True,True,1.2e-05
g6877.json,bfs,40,67,0.086,3.35,4,0.0,False,1,True,True,1.4e-05
g2567.json,bfs,38,136,0.193,7.157894736842105,21,0.3510874660255465,False,1,True,True,1e-05
g7335.json,bfs,30,49,0.113,3.2666666666666666,4,0.0,False,1,True,True,1e-05
g5308.json,bfs,24,48,0.174,4.0,6,0.20555555555555557,False,1,True,True,9e-06
g2137.json,bfs,38,37,0.053,1.9473684210526316,14,0.0,False,1,True,False,1.1e-05
g9281.json,bfs,85,84,0.024,1.9764705882352942,5,0.0,False,1,True,False,1.9e-05
g4149.json,bfs,31,93,0.2,6.0,8,0.35314900153609835,False,1,True,True,1e-05
g6174.json,bfs,24,37,0.134,3.0833333333333335,4,0.0,False,1,True,True,9e-06
g3376.json,bfs,47,46,0.043,1.9574468085106382,11,0.0,False,1,True,False,1.3e-05
g8869.json,bfs,364,363,0.005,1.9945054945054945,4,0.0,False,1,True,False,7e-05
g4519.json,bfs,49,49,0.042,2.0,4,0.0,False,1,True,True,1.6e-05
g6524.json,bfs,36,60,0.095,3.3333333333333335,4,0.0,False,1,True,True,1.2e-05
g3726.json,bfs,43,42,0.047,1.9534883720930232,13,0.0,False,1,True,False,1.2e-05
g286.json,bfs,20,37,0.195,3.7,7,0.18309523809523812,False,1,True,True,8e-06
g2834.json,bfs,50,49,0.04,1.96,14,0.0,False,1,True,False,1.4e-05
